country,trend_per_year,volatility,mean_anomaly,min_year,max_year,total_records
Burma,0.008195750241960698,0.5946978008244796,-0.0603456128600134,1892,2016,1493
Burundi,0.010089290772212286,0.5926267128082291,0.19691149870801034,1892,2020,1548
Cambodia,0.0100724116726297,0.7117380442514831,0.03277196382428941,1892,2020,1548
Cameroon,0.010140863203394475,0.6218613865303155,0.1304320827943079,1892,2020,1546
Canada,0.012469135733452597,1.6464898109489612,0.23214793281653748,1892,2020,1548
Cape Verde,0.010334246150277499,0.6832415548387518,0.12966376423308773,1892,2016,1493
Cayman Islands,0.008190528401125797,0.6101641346291958,0.04714266577361018,1892,2016,1493
Central African Republic,0.00980047506977234,0.6992220831671788,0.13800970245795602,1892,2020,1546
Chad,0.009940095435711326,0.9096555892214491,0.12766645119586295,1892,2020,1547
Chile,0.008605760845259389,0.6053227504736873,0.01660142118863049,1892,2020,1548
China,0.012150022361359574,0.9300426541336547,0.12024289405684754,1892,2020,1548
Christmas Island,0.010671420731658542,0.5282524560510732,-0.025776959142665774,1892,2016,1493
Colombia,0.011104363726147882,0.5827157071642196,-0.010604651162790697,1892,2020,1548
Comoros,0.01001660610465117,0.550035175257928,0.12733656330749354,1892,2020,1548
Congo,0.007888322298256246,0.5006655272192764,0.08740388479571333,1892,2016,1493
Costa Rica,0.009558954792784735,0.5805068230721773,0.0017377260981912136,1892,2020,1548
Croatia,0.012482612645348836,1.7536228784781038,0.2325658914728682,1892,2020,1548
Cuba,0.009542467016994639,0.6752557943666476,0.044636950904392764,1892,2020,1548
Cyprus,0.009992679915772216,1.0707043799709517,0.012907622739018092,1892,2020,1548
Czech Republic,0.012058683685467433,1.8944078141033895,0.15398124581379774,1892,2016,1493
Denmark,0.01104552586463924,1.8384916021703122,0.10084819121447028,1892,2020,1548
Djibouti,0.010397606402802627,0.6788227714853972,0.20380038759689922,1892,2020,1548
Dominica,0.011443412716159812,0.5647322682758099,-0.002578811369509043,1892,2020,1548
Dominican Republic,0.010640051524299343,0.5767081727398149,0.03769250645994832,1892,2020,1548
Ecuador,0.01143628401107345,0.608023091691157,0.013588661832564273,1892,2020,1517
Egypt,0.010000164449165178,1.0562364586005282,0.026061369509043926,1892,2020,1548
El Salvador,0.008757768709004179,0.6006466804855611,0.0013268733850129207,1892,2020,1548
Equatorial Guinea,0.010216155616428151,0.5684927246737156,0.12866279069767442,1892,2020,1548
Eritrea,0.010273246496720338,0.7164108067755995,0.12744896640826872,1892,2020,1548
Estonia,0.01468522519752534,2.3732796348894047,0.38433462532299745,1892,2020,1548
Ethiopia,0.009844255459898634,0.5992552630107398,0.1929580103359173,1892,2020,1548
Faroe Islands,0.008515319097384873,1.0860557368409902,0.06351774949765572,1892,2016,1493
Federated States of Micronesia,0.012797384579632752,0.4949470737835883,0.21278306451612902,1917,2020,1240
Fiji,0.010191025043760365,0.6048790634660468,0.056422048271363344,1892,2020,1533
Finland,0.013744072376267147,2.4610840440754775,0.3513404392764858,1892,2020,1548
France,0.011636484887447823,1.2555227015644275,0.2166847545219638,1892,2020,1548
French Guiana,0.011017027224795133,0.5379765329667223,-0.03958271935699933,1892,2016,1493
French Polynesia,0.009729910626506542,0.5040109628657109,0.006990527740189446,1892,2016,1478
French Southern and Antarctic Lands,0.014698603123296301,0.6707176176397539,0.1964439024390244,1948,2016,820
Gabon,0.01010666722442615,0.5719253405203368,0.12113583441138423,1892,2020,1546
Gambia,0.011324256950655935,0.7441621904724136,0.24363501291989664,1892,2020,1548
Gaza Strip,0.010702553553214138,1.183475347830072,-0.04734896182183523,1892,2016,1493
Georgia,0.012718473744036972,1.7194819596746032,0.018719638242894056,1892,2020,1548
